L,actual_payload_bps,actual_payload_bytes,codec_setting,container_overhead_notes,decoded_wav_path,duration_sec,encoded_path,ideal_bitrate_bps,ideal_payload_bits,method,model,nominal_bitrate_bps,notes,overhead_ratio,packed_payload_bps,packed_payload_bytes,packetized_payload_bps,packetized_payload_bytes,sample_id
1,,,,,,1.0,,500,500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,8838-298545-0037
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,8838-298545-0037
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,8838-298545-0037
1,,,,,,1.0,,500,500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,8838-298545-0037
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,8838-298545-0037
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,8838-298545-0037
1,,,,,,1.0,,500,500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,5390-30102-0015
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,5390-30102-0015
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,5390-30102-0015
1,,,,,,1.0,,500,500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,5390-30102-0015
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,5390-30102-0015
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,5390-30102-0015
1,,,,,,1.0,,500,500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,4018-103416-0033
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,4018-103416-0033
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_base,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,4018-103416-0033
1,,,,,,1.0,,500,500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.264,504.0,63,632.0,79,4018-103416-0033
2,,,,,,1.0,,1000,1000,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.128,1000.0,125,1128.0,141,4018-103416-0033
3,,,,,,1.0,,1500,1500,SCIT-Speech,scit_lca,,packed payload is bit-packed 10-bit indices; npy storage is not used for payload accounting,0.088,1504.0,188,1632.0,204,4018-103416-0033
,256352.0,32044,16kHz mono PCM_16 WAV,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\8838-298545-0037.wav,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\8838-298545-0037.wav,,,pcm16_wav,,256000,,,,,,,8838-298545-0037
,256352.0,32044,16kHz mono PCM_16 WAV,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\5390-30102-0015.wav,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\5390-30102-0015.wav,,,pcm16_wav,,256000,,,,,,,5390-30102-0015
,256352.0,32044,16kHz mono PCM_16 WAV,raw_pcm_bytes=32000; WAV container included in actual_payload_bytes,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\4018-103416-0033.wav,1.0,output\experiments\exp4_baseline_comparison_20260526_202329_seed42\samples\baselines\pcm\4018-103416-0033.wav,,,pcm16_wav,,256000,,,,,,,4018-103416-0033
